id,cppcheck_hit,flawfinder_hit,status
484063,1,0,cpp_only
486796,1,0,cpp_only
486837,1,0,cpp_only

counts
both,175
cpp_only,451
flawfinder_only,9
none,33
total,668
